8340	10420
12750	11080
7350	16670
12240	17100
14330	13360
11370	15210
11090	14250
16900	6550
14280	17770
11660	10350
7860	16860
14690	6940
7610	5920
10000	12580
17340	10790
6390	14910
1570	12920
5550	12240
4650	3560
10680	5500
10640	9220
12850	6110
14320	4120
7580	8410
7530	10980
8560	150
10920	5870
11070	9570
5860	8340
12320	12490
6190	2670
10740	18150
4520	1530
11840	6900
13030	7650
12630	8900
13470	14970
12000	6580
15930	14930
9260	10020
11500	9150
8210	8400
18200	14310
8770	6190
5330	10480
13830	7500
5680	8700
13120	7220
10540	8980
11790	12310
7260	14620
15570	11970
14060	13940
10250	9920
11920	5430
17190	7640
8300	7330
12580	11810
12440	17570
2550	4580
6980	5260
11290	10150
15780	9590
4610	6310
12520	7210
16180	4220
10070	14150
8600	15110
5150	3200
6700	17430
8270	12890
15230	2850
3580	8900
8310	4690
8400	4160
12850	7340
7350	18480
3120	10080
10530	13690
8930	3930
10900	5540
4530	14970
10300	18070
10540	12660
9100	11780
6170	16640
9120	11250
4040	10660
14580	13650
4810	7020
11020	3780
3900	10050
6650	6870
7580	12150
6190	5080
10680	11090
11810	8770
13180	11730
10990	8480
8050	10950
16010	8660
7350	9290
14840	9240
9160	7610
8390	5940
12380	2600
13520	15420
11860	9320
16890	16250
10860	14560
9300	11670
13370	9400
15240	5350
13450	4470
7570	5820
13810	6460
11810	11020
10960	9560
10210	8510
19130	9920
9940	12810
10380	17150
15520	15570
12920	11030
10010	9670
5180	17020
4860	13380
7600	9240
13140	15430
9730	4190
5910	7100
4580	3940
6490	12310
7800	12160
12490	11740
3650	11610
10190	2100
15280	6490
11190	6230
11460	8340
16010	5500
7000	8780
14460	10210
9210	17800
7530	9080
17650	1040
10480	3920
9370	14520
2090	10360
6960	10470
9590	10810
11670	12620
4260	10590
8880	4600
7360	13140
8140	9890
11040	15590
15030	6830
4350	10400
7300	7300
8640	14330
2170	2390
12520	660
17520	13870
10930	5550
3860	14640
8170	4860
9540	6960
9550	12110
16360	11790
11640	3870
8030	7890
5600	13360
8470	14030
13630	8530
12450	13040
13040	15340
5710	1010
18060	12580
16880	10280
13680	8910
8460	9720
11750	18440
9090	10790
13830	15680
4410	2810
10560	5900
8780	6260
2580	11960
5060	7190
2300	3670
4850	11600
11770	10520
6310	13150
6140	13950
11900	12830
17500	10220
3310	13830
8900	9670
15850	10560
13400	13620
9430	4960
7710	14800
8690	8750
15430	2380
9200	5200
9470	7520
2340	8860
8420	10630
5690	6730
6900	6190
11760	9470
14160	6190
1740	16200
11280	18310
7050	11200
11210	9680
5530	6250
11790	12360
4820	17060
6290	1550
10150	17220
11410	12440
18610	8250
7340	6940
7460	9350
9680	5930
8500	5180
8200	18530
15940	15380
11840	3930
9860	14110
15010	17170
12780	13500
14820	14660
11230	8990
14100	10500
10060	10700
9770	9720
1310	8760
11660	19330
15140	6550
11200	3260
5140	10090
4990	2130
5070	7310
12870	4010
9440	5430
15390	7100
15240	10440
10250	10240
6950	6510
2710	12490
12170	9600
9560	7570
10140	3150
1510	4460
10380	9850
3640	9720
3820	7590
8910	3120
13450	3460
14210	2060
7070	14080
14000	6250
9160	5910
11020	8210
4230	13960
9050	11080
8910	12450
17430	9340
15030	6040
12080	3790
11050	14900
12770	6500
13890	12460
11430	17060
8640	8980
11310	5790
8340	9880
1650	15360
11050	11920
7780	16400
6580	6100
11200	8340
9970	10530
9680	11600
14220	11990
11800	11840
9330	9600
6120	12580
10070	8980
9320	17010
9570	10790
13350	5150
11180	11710
16370	17220
5840	11780
16920	9410
16950	6280
16580	12900
10550	5930
10430	2260
12400	3750
10390	14220
9900	12220
1020	12770
560	9130
12640	11720
4650	5720
11450	10550
4080	15660
1630	14800
4940	8270
8790	6850
5840	14590
9990	8100
9350	9740
9770	8720
8840	10250
7060	15780
8010	9560
12820	5950
5190	10590
12990	3680
9950	8620
6700	10920
14130	13060
4410	9370
4480	11710
5750	11350
9400	15890
1830	10130
6790	10140
11840	16000
5530	14780
18600	8760
7650	15000
12940	13090
13480	14980
11580	17290
7280	10520
8310	1860
15210	18710
3330	8650
3340	8100
10310	16780
7580	8050
16140	6150
13080	10530
2980	14800
15260	13160
7500	10880
9610	6720
7050	5440
12840	5920
7330	6990
12280	16730
11770	3770
6080	8940
6800	14900
11300	7300
13320	6290
2270	9990
8800	12380
6400	7650
19840	9730
9770	1770
10100	3460
9700	15740
13130	2620
6650	17170
15070	15330
2650	14960
6940	9950
8500	9750
1090	13070
7170	11070
11980	10520
5390	9840
15570	12290
10950	9700
7540	7340
7900	5770
14680	9620
16790	14130
9680	10780
2410	10760
3600	11190
6160	3460
16190	14760
5400	14970
